"","Station.Name","lon","lat"
"58","CENTREVILLE POLICE DEPT",-76.061979,39.0476541
"59","CHAMBERS COUNTY SHERIFF DEPT",-94.375787,29.8205349
"60","CHATOM POLICE DEPT",-88.2535688,31.4611748
"61","CHEROKEE COUNTY NARCOTICS",NA,NA
"62","CHEROKEE COUNTY SHERIFF DEPT",-84.5125747,34.1144949
"63","CHICKASAW POLICE DEPT",-88.0742554,30.7648185
"64","CHILTON COUNTY SHERIFF DEPT",-86.6611083,32.944392
"65","CLANTON POLICE DEPARTMENT",-86.6291687,32.8396986
"66","CLARKE COUNTY SHERIFF'S DEPT",-83.3746696,33.9601511
"67","CLAYTON POLICE DEPT",-90.341026,38.649552
"68","CLEBURNE COUNTY SHERIFF'S DEPT",-97.386797,32.3729794
"69","CLEVELAND POLICE DEPT",-95.0780663,30.3466038
"70","CLIO POLICE DEPT",-83.7402149,43.1769038
"71","COFFEE COUNTY SHERIFF DEPT",-86.0845387,35.4780316
"72","COLBERT COUNTY SHERIFF DEPT",-87.8942451,34.7117567
"73","COLLINSVILLE POLICE DEPT",-89.9882638,38.6702548
"74","COLUMBIA POLICE DEPARTMENT",-81.0402224,34.0029874
"75","CONECUH COUNTY SHERIFF DEPT",-86.9824288,31.501571
"76","COOSA COUNTY SHERIFFS DEPT",-86.2199026,32.8887915
"77","CORDOVA POLICE DEPT",-90.318376,41.680058
"78","COTTONWOOD POLICE DEPT",-112.021941,34.7366366
"79","COVINGTON COUNTY SHERIFF DEPT",-83.8314963,33.6291695
"80","CRENSHAW COUNTY SHERIFF'S OFFICE",-118.3891875,34.0045052
"81","CREOLA  POLICE DEPT",-88.0332839,30.891706
"82","CROSSVILLE POLICE DEPT",-85.0283794,35.9466899
"83","CULLMAN COUNTY ANIMAL CONTROL",-86.8220341,34.2011537
"84","CULLMAN COUNTY SHERIFF DEPT",-86.612323,34.263166
"85","CULLMAN POLICE DEPT",-86.8455108,34.1826375
"86","DALE COUNTY SHERIFF DEPT",-85.6405935,31.4580048
"87","DALEVILLE DEPT OF PUBLIC SAFETY",-85.7129908,31.3101719
"88","DALLAS COUNTY SHERIFF DEPT",-96.8141091,32.777543
"89","DAPHNE POLICE DEPT",-87.896637,30.6000981
"90","DHS-HOMELAND SEC INV",NA,NA
"91","DORA POLICE DEPT",-87.0791319,33.7385267
"92","DOTHAN POLICE DEPT",-85.3907894,31.2251434
"93","DOUGLAS POLICE DEPT",-71.7116195,42.06867
"94","ELBA POLICE DEPT",-86.0652542,31.4147019
"95","ELBERTA POLICE DEPT",-104.5952216,39.3590679
"96","ELMORE COUNTY  SHERIFF DEPT",-86.1951416,32.5646432
"97","ESCAMBIA COUNTY SHERIFF DEPT",-87.3494719,30.7063934
"98","ETOWAH COUNTY DTF",NA,NA
"99","ETOWAH COUNTY SHERIFF DEPT",-86.0123896,34.0164836
"100","EUFAULA POLICE DEPT",-85.137896,31.8910713
"101","FAIRFIELD POLICE DEPT",-122.044673,38.2522559
"102","FAIRHOPE POLICE DEPT",-87.903458,30.5260434
"103","FALKVILLE POLICE DEPT",-86.9073149,34.3679232
"104","FLORENCE POLICE DEPT",-79.7714568,34.1967658
"105","FOLEY POLICE DEPT",-87.6819089,30.4134166
"106","FORT PAYNE POLICE DEPT",-85.723667,34.4403422
"107","FRANKLIN COUNTY SHERIFF DEPT",-86.8850166,35.9012038
"108","FULTONDALE POLICE DEPT",-86.7987889,33.6093113
"109","GADSDEN POLICE DEPT",-86.000309,34.009474
"110","GARDENDALE POLICE DEPT",-86.8100814,33.6472043
"111","GENEVA COUNTY SHERIFF DEPT",-85.8655,31.0405
"112","GEORGIANA POLICE DEPT",-86.739044,31.6432359
"113","GERALDINE POLICE DEPT",NA,NA
"114","GLENCOE POLICE DEPT",-96.9269316,36.2267088
"115","GORDO POLICE DEPT",-87.9021049,33.3198693
"116","GRANT POLICE DEPT",-86.2549977,34.518023
"117","GREENVILLE POLICE DEPT",-82.396102,34.856487
"118","GROVE HILL POLICE DEPT",76.8714899,8.5691279
"119","GULF SHORES POLICE DEPT",-87.6899429,30.2713629
"120","GUNTERSVILLE POLICE DEPT",-86.292565,34.3603419
"121","HANCEVILLE POLICE DEPT",-86.7673207,34.0594625
"122","HARTFORD POLICE DEPT",-72.6523281,41.7856523
"123","HARTSELLE POLICE DEPT",-86.9345684,34.444795
"124","HEADLAND POLICE DEPT",-85.3418062,31.3522277
"125","HEFLIN POLICE DEPT",-85.5871537,33.6484883
"126","HELENA POLICE DEPT",-112.0367468,46.5863859
"127","HENRY COUNTY SHERIFF DEPT",-79.8918264,36.7419913
"128","HIGHLAND LAKE POLICE DEPT",-87.4479219,41.5538456
"129","HILLSBORO POLICE DEPT",-122.9732885,45.5208541
"130","HOKES BLUFF POLICE DEPT",-85.8663574,33.9981546
"131","HOMEWOOD POLICE DEPT",-86.789971,33.479296
"132","HOOVER POLICE DEPT",-86.8056979,33.3872746
"133","HOUSTON COUNTY SHERIFF DEPT",-95.3558218,29.7634678
"134","HUEYTOWN POLICE DEPT",-86.9942379,33.4432235
"135","HUNTSVILLE POLICE DEPT",-86.5408734,34.6607635
"136","IRONDALE POLICE DEPT",-86.7066225,33.5382688
"137","JACKSON COUNTY SHERIFF DEPT",-84.4099518,42.2449938
"138","JACKSON POLICE DEPT",-74.3541491,40.1099081
"139","JACKSONVILLE HIGHWAY PATROL",-77.456539,34.7456239
"140","JASPER POLICE DEPT",-87.2751367,33.8351043
"141","JEFFERSON CO SHERIFF (CENTER POINT)",-105.8005988,39.377255
"142","JEFFERSON COUNTY SHERIFF (BESSEMER)",-86.953283,33.4012612
"143","JEFFERSON COUNTY SHERIFF DEPT",-94.3774232,42.0172457
"144","LAKE VIEW POLICE DEPT",-111.8588457,33.5797751
"145","LAWRENCE COUNTY SHERIFF DEPT",-95.2343505,38.9632961
"146","LEE COUNTY SHERIFF DEPT",-90.7572875,34.7745557
"147","LEEDS POLICE DEPT",-86.5649882,33.5439413
"148","LEESBURG POLICE DEPT",-81.874682,28.809667
"149","LIMESTONE COUNTY SHERIFF DEPT",-86.9723656,34.8011967
"150","LINCOLN POLICE DEPT",-96.707751,40.808095
"151","LOWNDES COUNTY SHERIFF DEPT",-88.4017172,33.4934929
"152","LUVERNE POLICE DEPT",-96.2025289,43.6555249
"153","MACON COUNTY SHERIFF'S OFFICE",-83.637277,32.8291389
"154","MADISON POLICE DEPT",-89.3823864,43.0723333
"155","MAPLESVILLE POLICE DEPT",-86.8716549,32.7884608
"156","MARENGO COUNTY SHERIFF DEPT",-92.0711674,41.801043
"157","MARION COUNTY SHERIFF DEPT",-85.658099,40.55773
"158","MARSHALL COUNTY SHERIFF DEPT",-84.9636634,42.2707944
"159","MCINTOSH POLICE DEPT",-95.5796232,35.2865942
"160","MIDFIELD POLICE DEPT",-86.9069653,33.4671914
"161","MILLBROOK POLICE DEPT",-86.3577888,32.4755122
"162","MILLRY POLICE DEPT",-88.314845,31.6333
"163","MOBILE COMM CORRECTION CENTER",NA,NA
"164","MOBILE COUNTY SHERIFF DEPT",-88.040807,30.6794134
"165","MOBILE POLICE DEPT",-88.2437202,30.6812515
"166","MONTEVALLO POLICE DEPT",-86.8646349,33.099318
"167","MONTGOMERY CTY BOARD OF PARDONS",-86.29722,32.374614
"168","MONTGOMERY CTY SHERIFF DEPT",-86.307182,32.3758478
"169","MONTGOMERY POLICE DEPT",-88.3873171,41.7240981
"170","MOODY POLICE DEPT",-86.4919484,33.5901376
"171","MORGAN COUNTY SHERIFF DEPT",-111.6784659,41.0361777
"172","MORRIS POLICE DEPT",-88.4225715,41.3623372
"173","MOUNTAIN BROOK POLICE DEPT",-86.771956,33.4780765
"174","MUNFORD POLICE DEPT",-89.8141347,35.4475479
"175","MUSCLE SHOALS POLICE DEPT",-87.6562804,34.7441013
"176","NE AL LAW ENFORCEMENT ACADEMY",-111.9761349,46.6620341
"177","NEWTON POLICE DEPT",-71.2275323,42.349458
"178","NORTHPORT POLICE DEPT",-87.5806115,33.2431757
"179","ODENVILLE POLICE DEPT",-86.396648,33.6773237
"180","OHATCHEE POLICE DEPT",-86.0382056,33.7805392
"181","ONEONTA POLICE DEPT",-75.0642756,42.4512141
"182","OPELIKA POLICE DEPT",-85.3776017,32.6417256
"183","ORANGE BEACH POLICE DEPT",-87.579231,30.290089
"184","OXFORD POLICE DEPT",-85.8631875,33.5995475
"185","OZARK POLICE DEPT",-93.8276965,35.4870295
"186","PARRISH POLICE DEPT",-93.7436107,32.6799296
"187","PELHAM POLICE DEPT",-86.8117216,33.2865564
"188","PELL CITY POLICE DEPT",-86.2861242,33.5874729
"189","PENNINGTON POLICE DEPT",-88.0969505,30.714037
"190","PHENIX CITY POLICE DEPT",-85.0013039,32.467817
"191","PICKENS COUNTY SHERIFF DEPT",-82.7018923,34.8716425
"192","PIEDMONT POLICE DEPARTMENT",-122.2323173,37.8244434
"193","PLEASANT GROVE POLICE DEPT",-86.9707602,33.4898358
"194","POWELL POLICE DEPT",-83.0767524,40.1569432
"195","PRATTVILLE POLICE DEPT",-86.4731883,32.4590965
"196","PRICEVILLE POLICE DEPT",-86.9041759,34.5368541
"197","PRICHARD POLICE DEPT",-88.0803041,30.7305566
"198","RAGLAND POLICE DEPT",-86.257927,33.6994895
"199","RAINBOW CITY POLICE DEPT",-86.0453683,33.9502215
"200","RANDOLPH COUNTY SHERIFF DEPT",-79.8310911,35.669613
"201","RIVERSIDE POLICE DEPT",-117.3749148,33.9780767
"202","RUSSELLVILLE POLICE DEPT",-93.1348343,35.2851882
"203","SAINT CLAIR COUNTY SHERIFF DEPT",-82.4228914,42.9744635
"204","SARALAND POLICE DEPT",-88.071204,30.8055779
"205","SARDIS CITY POLICE DEPT",-86.1227533,34.1742616
"206","SATSUMA POLICE DEPT",-88.0517266,30.8562498
"207","SCOTTSBORO POLICE DEPT",-86.0357421,34.6622759
"208","SELMA POLICE DEPT",-98.3054827,29.5918432
"209","SHELBY COUNTY SHERIFF DEPT",-90.0478549,35.1489955
"210","SIPSEY POLICE DEPT",-87.0861125,33.8248272
"211","SKYLINE POLICE DEPT",-117.0428163,32.7043747
"212","SLOCOMB POLICE DEPT",-85.6033,31.1078
"213","SNEAD POLICE DEPT",-86.3943236,34.1192254
"214","SOMERVILLE POLICE DEPT",-71.0923328,42.3790411
"215","SOUTHSIDE POLICE DEPT",-86.0229338,33.9203025
"216","SPRINGVILLE POLICE DEPT",-85.7602021,44.3372078
"217","STEELE POLICE DEPT",-99.9157543,46.8547522
"218","SUMITON POLICE DEPT",-87.0499992,33.7556606
"219","SYLACAUGA POLICE DEPT",-86.2514938,33.1721192
"220","TALLADEGA COUNTY DTF",-86.1344697,33.4231716
"221","TALLADEGA POLICE DEPT",-86.1038243,33.4327569
"222","TALLAPOOSA COUNTY NTF",-85.8486236,32.9201244
"223","TALLAPOOSA COUNTY SHERIFF DEPT",-85.958819,32.9404971
"224","TARRANT POLICE DEPT",-86.774846,33.5853124
"225","THOMASVILLE POLICE DEPT",-83.9624358,30.83659
"226","THORSBY POLICE DEPT",-86.7079267,32.9060003
"227","TRINITY POLICE DEPT",-95.3759615,30.9435786
"228","TROY POLICE DEPT",-84.2018482,40.0386368
"229","TROY UNIVERSITY POLICE DEPT",-85.9547634,31.8006225
"230","TRUSSVILLE POLICE DEPT",-86.6088756,33.6198251
"231","TRUSSVILLE SPECIAL INV UNIT",-86.6088756,33.6198251
"232","TUSCALOOSA COUNTY SHERIFF DEPT",-87.5681832,33.2071984
"233","TUSCALOOSA POLICE DEPT",-87.556324,33.1728871
"234","TUSCUMBIA POLICE DEPT",-87.7018258,34.7305632
"235","UNIONTOWN POLICE DEPT",-87.513085,32.4506119
"236","UNIV OF AL HUNTSVILLE POLICE",-86.5660323,34.7840737
"237","UNIV OF NORTH AL POLICE",-87.6791504,34.8071309
"238","US DOJ ATF BIRMINGHAM",-86.80249,33.5206608
"239","US DOJ ATF REDSTONE ARSENAL",NA,NA
"240","US DOJ FBI BIRMINGHAM DIVISION",NA,NA
"241","US MARSHAL SERVICE GULF COAST FTF",NA,NA
"242","US MARSHAL SERVICE MONTGOMERY",-84.1958684,39.7595042
"243","VESTAVIA HILLS POLICE DEPT",-86.7877215,33.4507527
"244","VINCENT POLICE DEPT",-86.4114473,33.3848621
"245","WALKER COUNTY SHERIFF DEPT",-94.5797171,47.1015287
"246","WASHINGTON COUNTY SHERIFF DEPT",-121.8836098,45.6944453
"247","WEAVER POLICE DEPT",-85.8127567,33.7491924
"248","WEST BLOCTON POLICE DEPT",-87.1146372,33.1175455
"249","WETUMPKA POLICE DEPT",-86.2126399,32.519634
"250","WINSTON COUNTY SHERIFF DEPT",-87.4022879,34.1465795
"251","14TH JUDICIAL DIST DTF",NA,NA
"252","ALMA POLICE DEPT",-93.545603,39.0956519
"253","AR DEPT OF CORRECTION PINE BLUFF HQ",-91.8318334,35.20105
"254","AR LAW ENF TRAINING ACADEMY",-92.722516,33.6306972
"255","AR STATE PARKS",-93.683789,33.7732202
"256","AR STATE POLICE LITTLE ROCK",-92.3409079,34.6766285
"257","AR TOBACCO CONTROL BOARD",-92.2709867,34.7440355
"258","ARKADELPHIA POLICE DEPT",-93.065867,34.185266
"259","ASH FLAT POLICE DEPT",-91.6080042,36.2219232
"260","ASHLEY COUNTY SHERIFF DEPT",NA,NA
"261","ATKINS POLICE DEPARTMENT",-92.0240145,42.1688035
"262","AUSTIN POLICE DEPT.",-97.735678,30.2678439
"263","BARLING POLICE DEPT",-94.2997748,35.3257227
"264","BAUXITE POLICE DEPT",-92.5199997,34.5553458
"265","BAXTER COUNTY SHERIFF DEPT",-92.3813621,36.3261815
"266","BEEBE POLICE DEPT",NA,NA
"267","BENTON COUNTY SHERIFF DEPT",-88.3506141,36.8580014
"268","BENTON POLICE DEPT",-92.5851029,34.5628903
"269","BENTONVILLE POLICE DEPT",-94.200356,36.3561161
"270","BERRYVILLE POLICE DEPT",-77.9810214,39.1481511
"271","BLACK RIVER TECH COLLEGE LE ACAD",NA,NA
"272","BLACK ROCK POLICE DEPT",-6.1775967,53.2997932
"273","BLYTHEVILLE POLICE DEPT",-89.900735,35.928238
"274","BOONE COUNTY SHERIFF DEPT",-81.7068083,36.2208571
"275","BRYANT POLICE DEPT",-92.500715,34.614906
"276","CABOT POLICE DEPT",-92.0168622,34.9739248
"277","CAMDEN POLICE DEPT",-75.116203,39.9436825
"278","CAMP ROBINSON DEPT OF PUBLIC SAFETY",NA,NA
"279","CARLISLE POLICE DEPT",-84.3240856,39.5844939
"280","CENTERTON POLICE DEPT",-94.2932483,36.3561661
"281","CHEROKEE VILLAGE POLICE DEPT",-86.8102921,41.7610181
"282","CHIDESTER POLICE DEPT",-93.0218778,33.7035621
"283","CLARK COUNTY SHERIFF DEPT",-122.6785906,45.6304462
"284","CONWAY COUNTY SHERIFF DEPT",-79.0481943,33.8319404
"285","CONWAY POLICE DEPT",-71.087033,44.004442
"286","CRAIGHEAD COUNTY  SHERIFF DEPT",-90.4437574,35.8190717
"287","CRAWFORD COUNTY SHERIFF DEPT",-83.125317,33.897575
"288","CRITTENDEN COUNTY SHERIFF DEPT",-90.1904761,35.1749039
"289","CROSS COUNTY SHERIFF DEPT",-90.786648,35.2228629
"290","DANVILLE POLICE",-122.0030557,37.8298643
"291","DAVALLS BLUFF POLICE DEPT",NA,NA
"292","DELL POLICE DEPARTMENT",-90.0394755,35.8563195
"293","DEQUEEN POLICE DEPT",-94.3389122,34.038484
"294","DIERKS POLICE DEPT",-94.0181748,34.119279
"295","DOVER MARSHALS OFFICE",1.3134027,51.1278758
"296","DREW COUNTY SHERIFF DEPT",-91.7917393,33.6268921
"297","DYER POLICE DEPT",-87.5223026,41.4922301
"298","EL DORADO POLICE DEPT",-92.6660038,33.2142777
"299","ELKINS POLICE DEPARTMENT",-94.027147,36.027804
"300","ENGLAND POLICE DEPT",-91.9715527,34.5444252
"301","EUREKA SPRINGS POLICE DEPT",-93.7121185,36.3948537
"302","FAIRFIELD BAY POLICE DEPT",-92.3457963,34.7437064
"303","FAULKNER COUNTY SHERIFFS OFFICE",-92.4396327,35.0737707
"304","FOREMAN MARSHAL'S OFFICE",NA,NA
"305","FORREST CITY POLICE DEPT",-90.7872848,35.0104227
"306","FORT SMITH POLICE DEPT",-94.4237446,35.3828022
"307","FULTON COUNTY SHERIFF DEPT",-91.9315073,38.8440852
"308","GARLAND COUNTY SHERIFF DEPT",-93.7099012,33.3629029
"309","GENTRY POLICE DEPT",-94.4846834,36.2677347
"310","GILLETT POLICE DEPT",-88.3069018,44.8928522
"311","GLENWOOD POLICE DEPT",-87.6135142,41.5449228
"312","GRADY POLICE DEPT",-91.7006444,34.079081
"313","GRANNIS POLICE DEPT",-94.3385,34.2764
"314","GRAVETTE POLICE DEPT",-94.452877,36.416557
"315","GREEN FOREST POLICE DEPT",-93.4362177,36.3237772
"316","GREENBRIER POLICE DEPT",-92.3859852,35.2231037
"317","GREENE COUNTY SHERIFF DEPT",-82.8302569,36.1628082
"318","GREENWOOD POLICE DEPT",-82.1626958,34.1886267
"319","GURDON POLICE DEPT",-93.1505548,33.9220863
"320","GUY POLICE DEPT",-92.339826,35.3216899
"321","HARRISON POLICE DEPT",-75.2197874,39.7460969
"322","HEBER SPRING POLICE DEPT",-92.041159,35.4919817
"323","HEMPSTEAD COUNTY SHERIFF DEPT",-96.0753542,30.1023915
"324","HIGGINSON POLICE DEPARTMENT",NA,NA
"325","HIGHFILL POLICE DEPT",-94.358336,36.2621899
"326","HIGHLAND POLICE DEPT",-87.4479219,41.5538456
"327","HOPE POLICE DEPT",-93.5986759,33.663746
"328","HOT SPRINGS POLICE DEPT",-93.0481097,34.5052677
"329","HOXIE POLICE DEPT",-90.9806,36.0484
"330","HUNTINGTON POLICE DEPT",-82.4413618,38.4173247
"331","INDEPENDENCE COUNTY SHERIFF OFFICE",-81.150262,36.6233712
"332","IZARD COUNTY SHERIFF DEPT",-91.9566,36.0424
"333","JACKSON COUNTY SHERIFF'S DEPARTMENT",-88.811047,35.6152717
"334","JACKSONVILLE POLICE DEPT",-95.2753022,31.963376
"335","JASPER POLICE DEPARTMENT",-87.2751367,33.8351043
"336","JOHNSON POLICE DEPT",-94.1643923,36.1338272
"337","JUDSONIA POLICE DEPT",-91.6395622,35.2703297
"338","LAVACA POLICE DEPT",-94.1752701,35.3354737
"339","LAWRENCE COUNTY SHERIFF'S OFFICE",-90.104752,31.554773
"340","LINCOLN COUNTY SHERIFF DEPT",-89.3595051,40.1460581
"341","LITTLE FLOCK POLICE DEPT",-94.1376802,36.3768821
"342","LITTLE ROCK POLICE DEPT",-92.277662,34.749401
"343","LONOKE COUNTY SHERIFF DEPT",-91.8879113,34.8078498
"344","LOWELL POLICE DEPT",-71.3136011,42.6470835
"345","MADISON COUNTY SHERIFF DEPT",-89.3835581,43.0719478
"346","MAGAZINE POLICE DEPT",-93.8055919,35.1496683
"347","MAGNOLIA POLICE DEPT",-95.7454273,30.2141854
"348","MALVERN POLICE DEPARTMENT",-75.511975,40.033445
"349","MAMMOTH SPRING POLICE DEPT",-91.5404398,36.4947075
"350","MANILA POLICE DEPT",-109.7261344,40.9881875
"351","MANSFIELD POLICE DEPT",-97.1172908,32.5542734
"352","MARION POLICE DEPT",-83.1328314,40.588198
"353","MARKED TREE POLICE DEPT",-90.4226746,35.5321159
"354","MAUMELLE POLICE DEPT",-92.4060234,34.8612778
"355","MAYNARD POLICE DEPT",-71.4614148,42.4304324
"356","MCCRORY CITY POLICE",-91.1986,35.2566
"357","MENA POLICE DEPT",-94.2398841,34.5869672
"358","MENIFEE POLICE DEPT",-92.753403,35.159698
"359","MILLER COUNTY  SHERIFF",-98.9856797,44.5201869
"360","MINERAL SPRINGS POLICE DEPT",-93.9144028,33.8753444
"361","MISSISSIPPI COUNTY SHERIFF DEPT",-90.104752,31.554773
"362","MONTICELLO POLICE DEPT",-109.3412313,37.8728334
"363","MORRILTON POLICE DEPT",-92.7434567,35.1540348
"364","MOUNTAIN HOME POLICE DEPT",-92.3907769,36.3352506
"365","NEWTON COUNTY SHERIFF DEPT",-93.7630724,30.8477285
"366","NORPHLET POLICE DEPT.",-92.6629349,33.3159585
"367","NORTH LITTLE ROCK POLICE DEPT",-92.2677245,34.7789011
"368","NW ARKANSAS COMMUNITY COLLEGE PD",NA,NA
"369","OAK GROVE TOWNSHIP CONSTABLE",-78.8156113,36.0205134
"370","OPPELO POLICE DEPT",-92.7676658,35.1011965
"371","OSCEOLA POLICE DEPT",-89.9714408,35.6971133
"372","OUACHITA COUNTY SHERIFF DEPT",-92.8267985,33.5551732
"373","OZARK POLICE DEPARTMENT",-93.8276965,35.4870295
"374","PALESTINE POLICE DEPT",-95.634048,31.7638109
"375","PANGBURN POLICE DEPT",-91.8379001,35.4281407
"376","PARAGOULD POLICE DEPT",-90.4889087,36.056528
"377","PARIS POLICE DEPT",-95.5235907,33.6503538
"378","PARKIN POLICE DEPT",-90.5545142,35.2681813
"379","PHILLIPS COUNTY SHERIFF DEPT",-102.3015415,40.5840749
"380","PIKE COUNTY SHERIFF DEPT",-91.211096,39.346536
"381","PLUMERVILLE POLICE DEPT",-92.6407177,35.1600836
"382","POCAHONTAS POLICE DEPT",-90.9691572,36.2630635
"383","POINSETT COUNTY  SHERIFF  OFFICE",NA,NA
"384","POPE COUNTY SHERIFF DEPT.",-88.4867668,37.3693589
"385","PRAIRIE COUNTY SHERIFF DEPT",-94.3436937,38.9735045
"386","PRESCOTT POLICE DEPT",-112.4677082,34.5388569
"387","PULASKI COUNTY SHERIFF DEPT",-80.7777466,37.0475483
"388","RANDOLPH COUNTY SHERIFF'S DEPT",-79.8310911,35.669613
"389","RAVENDEN POLICE DEPT",-91.2517978,36.2334012
"390","REDFIELD POLICE DEPT",-98.5186867,44.8776363
"391","ROGERS POLICE  DEPT",-93.5528343,45.1895426
"392","RUSSELLVILLE CONSTABLE",-93.1337856,35.2784173
"393","SAINT CHARLES POLICE DEPT",-90.5287092,38.7759184
"394","SAINT FRANCIS COUNTY SHERIFF DEPT",-90.4377422,37.7641321
"395","SALINE COUNTY SHERIFF OFFICE",-88.5407892,37.738685
"396","SCOTT COUNTY SHERIFF DEPT",-93.5268661,44.795894
"397","SEARCY POLICE DEPT",-91.7400617,35.2489317
"398","SHARP COUNTY SHERIFF DEPT",NA,NA
"399","SHERIDAN POLICE DEPT",-105.0267909,39.6419119
"400","SHERWOOD POLICE DEPT",-122.8498636,45.3681648
"401","SILOAM SPRINGS POLICE DEPT",-94.5426267,36.1719626
"402","SMACKOVER POLICE DEPT",-92.7237127,33.3643817
"403","SPRINGDALE POLICE DEPT",-94.129127,36.187061
"404","STAMPS POLICE DEPT",-93.4987666,33.3655554
"405","STONE COUNTY SHERIFF DEPT",-93.4656354,36.8052907
"406","TEXARKANA POLICE DEPT",-94.0431675,33.420862
"407","TONTITOWN POLICE DEPT",-94.2362374,36.1765953
"408","UNION COUNTY SHERIFF DEPT",-81.6254085,34.7153814
"409","UNIV OF AR LITTLE ROCK POLICE",-92.3457963,34.7437064
"410","UNIV OF AR MEDICAL SCIENCES POLICE",NA,NA
"411","UNIV OF AR POLICE DEPT",-92.4606684,35.0787232
"412","US FBI LITTLE ROCK",-92.2895948,34.7464809
"413","VAN BUREN POLICE DEPT",-94.3543347,35.445307
"414","WALNUT RIDGE POLICE DEPT",-90.9561763,36.0722082
"415","WARD POLICE DEPT",-96.4641,28.8441
"416","WEST HELENA POLICE DEPT",-90.645652,34.5442338
"417","WEST MEMPHIS POLICE DEPT",-90.0145054,35.2474942
"418","WYNNE POLICE DEPT",-75.2882194,40.0070404
"419","YELL COUNTY SHERIFF DEPT",-93.3937936,35.0572755
"420","AAPC TUCSON",-110.926479,32.2217429
"421","APACHE COUNTY SHERIFF DEPT",-109.3644475,34.5014867
"422","APACHE JUNCTION POLICE DEPT",-111.5446484,33.4227631
"423","AVONDALE POLICE DEPT",-112.3046465,33.4429687
"424","AZ DEPT OF AGRICULTURE",-114.6114329,32.6841292
