"","X","Station.Name","lon","lat"
"62",944,"US DHS INVESTIGATIONS CO SPRINGS",NA,NA
"63",945,"US DOI BUR OF LAND MGMT DURANGO",NA,NA
"64",947,"US DOJ DEA CENTENNIAL",NA,NA
"65",973,"EASTERN CT STATE UNIV POLICE DEPT",NA,NA
"66",983,"MOHEGAN TRIBAL POLICE",NA,NA
"67",1023,"YALE UNIV POLICE DEPT",NA,NA
"68",1030,"DE DNR PARKS AND RECREATION",NA,NA
"69",1031,"DE DOJ ALCOHOL AND TOBACCO DIV",NA,NA
"70",1032,"DE FISH AND WILDLIFE ENFORCEMENT",NA,NA
"71",1033,"DE NATURAL RESOURCES POLICE, ECU",NA,NA
"72",1054,"UNIV OF DE NEWARK POLICE DEPT",NA,NA
"73",1063,"BAY COUNTY INTL AIRPORT POLICE",NA,NA
"74",1093,"DHS/HOMELAND SEC INV",NA,NA
"75",1148,"LE USPS OIG SOUTHERN DISTRICT",NA,NA
"76",1225,"UNIV OF CENTRAL FL POLICE DEPT",NA,NA
"77",1228,"US DEPT OF STATE NARC ENFORCEMENT",NA,NA
"78",1232,"US DHS ICE MIAMI REMOVAL OPS",NA,NA
"79",1257,"ATKINSON COUNTY SHERIFF DEPT",NA,NA
"80",1271,"BARWICK POLICE DEPT",NA,NA
"81",1283,"BROOKS COUNTY SHERIFFS OFFICE",NA,NA
"82",1286,"BULLOCH COUNTY SHERIFF DEPT",NA,NA
"83",1296,"CENTRAL GA TECHNICAL COLLEGE POLICE",NA,NA
"84",1313,"COMER POLICE DEPT",NA,NA
"85",1322,"DARTON COLLEGE POLICE DEPARTMENT",NA,NA
"86",1338,"EARLY COUNTY PUBLIC SAFETY",NA,NA
"87",1350,"EMANUEL COUNTY SHERIFF DEPT",NA,NA
"88",1376,"GORDON COUNTY SHERIFF DEPT",NA,NA
"89",1410,"KENNESAW STATE UNIVERSITY POLICE",NA,NA
"90",1418,"LEE COUNTY MARSHAL'S OFFICE",NA,NA
"91",1428,"MCDUFFIE COUNTY SHERIFF DEPT",NA,NA
"92",1444,"MUSCOGEE COUNTY SHERIFF OFFICE",NA,NA
"93",1456,"PENDERGRASS POLICE DEPT",NA,NA
"94",1485,"SKY VALLEY POLICE DEPT",NA,NA
"95",1487,"SOUTHERN CRESCENT TECH COLLEGE PD",NA,NA
"96",1506,"TRION POLICE DEPT",NA,NA
"97",1514,"US DHS CBP FT BENNING FIREARMS",NA,NA
"98",1516,"US DOI NPS KENNESAW MTN N",NA,NA
"99",1523,"US TREASURY INSP GEN TAX ADMIN LE",NA,NA
"100",1542,"WILKINSON COUNTY SHERIFF OFFICE",NA,NA
"101",1547,"DEPT OF JUSTICE-FBI",NA,NA
"102",1549,"US FBI ORG CRIME DRUG SQUAD",NA,NA
"103",1550,"ALBIA POLICE DEPT",NA,NA
"104",1614,"MAR-MAC LAW ENFORCMENT DISTRICT",NA,NA
"105",1626,"PAGE COUNTY SHERIFF DEPT",NA,NA
"106",1666,"BENEWAH COUNTY SHERIFF DEPT",NA,NA
"107",1682,"GOODING COUNTY SHERIFF DEPT",NA,NA
"108",1690,"JEROME COUNTY SHERIFF DEPT",NA,NA
"109",1691,"KAMIAH MARSHALS OFFICE",NA,NA
"110",1715,"TETON COUNTY SHERIFF'S OFFICE",NA,NA
"111",1736,"BENEDICTINE UNIVERSITY POLICE DEPT",NA,NA
"112",1771,"COLLEGE OF  DUPAGE POLICE DEPT",NA,NA
"113",1774,"COOK COUNTY SHERIFF POLICE DEPT",NA,NA
"114",1777,"COWDEN POLICE DEPT",NA,NA
"115",1827,"FOREST PRESERVE DISTRICT WILL CO",NA,NA
"116",1846,"GRANTFORK POLICE DEPT",NA,NA
"117",1859,"HEYWORTH POLICE DEPT",NA,NA
"118",1881,"KARNAK POLICE DEPT",NA,NA
"119",1905,"LINCOLN LAND COMM COLLEGE POLICE",NA,NA
"120",1933,"MENARD COUNTY SHERIFF DEPT",NA,NA
"121",1935,"METRO EAST AUTO THEFT TASK FORCE",NA,NA
"122",2043,"SPRINGFIELD PARK DISTRICT POLICE",NA,NA
"123",2064,"TRITON COLLEGE POLICE DEPARTMENT",NA,NA
"124",2103,"WOODFORD COUNTY SHERIFF DEPT",NA,NA
"125",2133,"CAYUGA MARSHAL OFFICE",NA,NA
"126",2176,"HARBOR BELT RAILROAD POLICE DEPART",NA,NA
"127",2186,"IN UNIVERSITY BLOOMINGTON POLICE",NA,NA
"128",2190,"IU HEALTH/BALL MEMORIAL HOSPITAL PD",NA,NA
"129",2194,"JOHNSON CO LAW ENF PROSECUTOR'S OFF",NA,NA
"130",2206,"LAKE COUNTY DTF",NA,NA
"131",2232,"MOUNT SUMMIT POLICE DEPT",NA,NA
"132",2253,"PARKE COUNTY SHERIFF OFFICE",NA,NA
"133",2254,"PATOKA POLICE DEPT",NA,NA
"134",2263,"PRINCES LAKES MARSHALS DEPT",NA,NA
"135",2326,"AUBURN WASHBURN SCHOOL POLICE",NA,NA
"136",2328,"BARTON COUNTY  SHERIFF OFFICE",NA,NA
"137",2332,"BURDEN POLICE DEPARTMENT",NA,NA
"138",2334,"BUTLER COMM COLLEGE DPS",NA,NA
"139",2349,"COWLEY COUNTY SHERIFF DEPT",NA,NA
"140",2358,"FORT HAYS STATE UNIV POLICE DEPT",NA,NA
"141",2377,"HOLTON POLICE DET",NA,NA
"142",2380,"JEWELL CO SHERIFF'S OFFICE",NA,NA
"143",2390,"LARNED STATE HOSPITAL SAFETY DEPT",NA,NA
"144",2401,"METRO TOPEKA AIRPORT AUTH POLICE",NA,NA
"145",2405,"NEMAHA COUNTY SHERIFF DEPT",NA,NA
"146",2419,"PITTSBURG STATE UNIV POLICE DEPT",NA,NA
